Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020,Count
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,5246.883717,5623.443978,6109.925868,6741.332364,7242.441105,7820.065471,8611.401839,9471.306172,10587.28576,11695.55442,12597.66751,13993.16674,14438.97628,15561.4264,17134.28602,18269.42217,19115.05291,20100.85889,21483.23306,22922.43709,23954.47935,24405.16481,25492.95165,26464.85251,27776.63553,28782.17502,30068.23092,31572.69023,32949.19776,34620.9289,36449.85512,37273.6181,38166.03784,39677.19835,41921.80976,44307.92058,46437.06712,48061.53766,48401.42734,47001.55535,48373.87882,49790.66548,51450.1223,52787.02695,54598.55069,56469.00897,57638.15909,,,47
United States,USA,Official entrance age to lower secondary education (years),SE.SEC.AGES,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,,47
United States,USA,Official entrance age to pre-primary education (years),UIS.THAGE.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,47
United States,USA,Official entrance age to primary education (years),SE.PRM.AGES,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,47
United States,USA,"Population, ages 0-14, female",SP.POP.0014.FE.IN,28131810,27879397,27567093,27206312,26810226,26414946,26080144,25727715,25387847,25104320,24857595,24769660,24746954,24781417,24848071,24950212,25222012,25496677,25782593,26084138,26434282,26951448,27466452,27931569,28321091,28644910,29017555,29307422,29525164,29721119,29903824,29950408,30038297,30115817,30159590,30129498,30323640,30419319,30457638,30471704,30485465,30446404,30361785,30252457,30176952,30135554,30055472,,,47
United States,USA,"Population, ages 0-14, male",SP.POP.0014.MA.IN,29484778,29177279,28832554,28448144,28023231,27591997,27452204,27261216,27049346,26867667,26698809,26554575,26462193,26419936,26415191,26460934,26632402,26836282,27078005,27353231,27694411,28224101,28760770,29246331,29654051,29997292,30387488,30697482,30931062,31137043,31326190,31391948,31497190,31581962,31620717,31575037,31770137,31863776,31896704,31905152,31917658,31850076,31749719,31633811,31557579,31517862,31429943,,,47
United States,USA,"Population, ages 0-14, total",SP.POP.0014.TO,57616587,57056877,56399805,55654422,54833306,54006943,53532331,52989186,52437806,51972624,51556408,51325205,51210012,51201638,51263141,51411147,51854058,52332807,52860890,53437830,54128696,55176304,56228208,57178675,57975521,58642204,59405021,60004851,60456163,60858131,61230015,61342245,61535380,61697728,61780292,61704537,62093984,62283423,62354688,62377101,62403125,62296758,62111829,61886507,61734640,61653419,61485451,,,47
United States,USA,"Population, ages 15-64, female",SP.POP.1564.FE.IN,63904980,65163676,66300892,67368192,68431727,69580451,70696966,71906339,73159100,74386981,75415405,76329000,77146653,77862201,78494155,79119198,79689361,80245670,80815553,81410241,82154308,83032170,83988941,84942180,85898469,86920852,87945126,89136235,90384386,91654187,92902585,94135688,95272126,96331758,97483650,98666814,99638452,100658015,101676990,102557375,103298479,103902543,104474133,104947326,105409766,105798691,106162939,,,47
United States,USA,"Population, ages 15-64, male",SP.POP.1564.MA.IN,62862147,64205664,65460109,66675098,67898134,69193470,70050131,70998629,72013488,73058020,73983711,74986609,75964525,76885345,77724084,78525246,79171287,79762468,80353459,80993488,81827365,82727826,83745352,84798310,85876720,87024381,88097302,89337410,90637939,91962720,93266477,94443185,95511354,96510218,97629232,98814306,99753943,100764942,101801390,102720637,103518413,104191493,104843835,105407238,105968389,106464143,106908102,,,47
United States,USA,"Population, ages 15-64, total",SP.POP.1564.TO,126767128,129369442,131761091,134043271,136329743,138773915,140747083,142905143,145172947,147445345,149399114,151316182,153111771,154747770,156218134,157644443,158860280,160007980,161169359,162404291,163981667,165760967,167735570,169741522,171775693,173945233,176042482,178473636,181022266,183616860,186169060,188578761,190783416,192841977,195112888,197481121,199392800,201423516,203478887,205278324,206816889,208094512,209318529,210354971,211378325,212262832,213071223,,,47
